country,time,week,valence_score,gdpdev,gdplevel
australia,2020-09-20,2020-W38,0.6130000000000001,-0.0422301473039552,97.57284003350028
australia,2020-09-27,2020-W39,0.6158,-0.03101030093591303,98.71433032884904
australia,2020-10-04,2020-W40,0.6133,-0.03653023528341747,98.23149119819969
australia,2020-10-11,2020-W41,0.6012000000000001,-0.02465093719063349,99.44624533592471
australia,2020-10-18,2020-W42,0.6012,-0.02482920187081734,99.46940302333324
australia,2020-10-25,2020-W43,0.6157,-0.02288331272613171,99.7246247210557
australia,2020-11-01,2020-W44,0.6157,-0.02695433500494944,99.36030783125852
australia,2020-11-08,2020-W45,0.6157,-0.02443685703045809,99.6517191358021
australia,2020-11-15,2020-W46,0.6493,-0.0255772307873008,99.59954341791769
australia,2020-11-22,2020-W47,0.6323000000000001,-0.01382765285677594,100.8181362236409
australia,2020-11-29,2020-W48,0.5941,-0.02337611561521873,99.9011206692288
australia,2020-12-06,2020-W49,0.5940999999999999,-0.01068966420653197,101.2389952145777
australia,2020-12-13,2020-W50,0.5774999999999999,0.00885002358291832,103.2790762725024
australia,2020-12-20,2020-W51,0.5703,-0.02758207622924798,99.62506671039908
australia,2020-12-27,2020-W52,0.6085,-0.01197768713928405,101.2542673480083
australia,2021-01-03,2021-W01,0.5963999999999999,-0.02070964149480663,100.4152412829637
australia,2021-01-10,2021-W02,0.5601,-0.02436107552229467,100.090389354728
australia,2021-01-17,2021-W03,0.5601,-0.02211867376013527,100.3769630224724
australia,2021-01-24,2021-W04,0.5435,-0.02337019315217686,100.2926401111814
australia,2021-01-31,2021-W05,0.5435,-0.01779996709462004,100.8943211218893
australia,2021-02-07,2021-W06,0.5817,-0.01412174781638131,101.3285815199415
australia,2021-02-14,2021-W07,0.5756,-0.01507619206608101,101.273540572787
australia,2021-02-21,2021-W08,0.5922,-0.01085565157777678,101.7436915496898
australia,2021-02-28,2021-W09,0.6115,-0.00173623508166964,102.7391133860153
australia,2021-03-07,2021-W10,0.5733,0.00328956848004136,103.2992176816014
australia,2021-03-14,2021-W11,0.577,-0.008162260403919834,102.1649922905188
australia,2021-03-21,2021-W12,0.5881,0.005614604139382957,103.6461400932349
australia,2021-03-28,2021-W13,0.5881000000000001,-0.002379584990848906,102.8631550577894
australia,2021-04-04,2021-W14,0.6044,0.01385103102731598,104.5892980364059
australia,2021-04-11,2021-W15,0.6043999999999999,-3.774208577362042e-05,103.2103476540156
australia,2021-04-18,2021-W16,0.5881000000000001,-0.01082838286276456,102.1446125364743
australia,2021-04-25,2021-W17,0.5881,-0.009919854021155878,102.2794948950446
australia,2021-05-02,2021-W18,0.5881000000000001,-0.002165505913233354,103.1392705318727
australia,2021-05-09,2021-W19,0.6059,-0.0004911878535922126,103.3545838686182
austria,2019-11-10,2019-W45,0.6059,0.02792408912194956,100.6831726094237
austria,2019-11-17,2019-W46,0.6274000000000001,0.03582672338095893,101.50032946261
austria,2019-11-24,2019-W47,0.6395,0.03453056534502406,101.3963383169935
austria,2019-12-01,2019-W48,0.6395,0.01583990113447536,99.53676203258338
austria,2019-12-08,2019-W49,0.6247,0.01519234955142383,99.4903068254533
austria,2019-12-15,2019-W50,0.6416999999999999,0.03645832688910063,101.6562771522382
austria,2019-12-22,2019-W51,0.6247,0.03785070724819176,101.8163193984716
austria,2019-12-29,2019-W52,0.5897999999999999,0.04420000656631383,102.4833583247327
austria,2020-01-05,2020-W01,0.5895,0.01032231164192087,99.09647053551731
austria,2020-01-12,2020-W02,0.5174000000000001,0.02266872882383295,100.3456746098209
austria,2020-01-19,2020-W03,0.5846,0.01903943525235635,100.0002220285212
austria,2020-01-26,2020-W04,0.5606000000000001,0.02067972903559256,100.1915439035287
austria,2020-02-02,2020-W05,0.5461,0.02829779538715188,100.9759720285357
austria,2020-02-09,2020-W06,0.5461,0.0144794268672906,99.6082455570257
austria,2020-02-16,2020-W07,0.5609,0.02902641914864884,101.0952390089056
austria,2020-02-23,2020-W08,0.5439,0.001486740082229606,98.36687217849523
austria,2020-03-01,2020-W09,0.5389999999999999,0.006350761221284469,98.86436222962908
austria,2020-03-08,2020-W10,0.5609,-0.02366116568555502,95.96734699871355
austria,2020-03-15,2020-W11,0.5212,-0.1617842655833745,83.60184814558053
austria,2020-03-22,2020-W12,0.5212,-0.172647475517783,82.71352614991017
austria,2020-03-29,2020-W13,0.5212000000000001,-0.2391028773056756,77.41641487152839
austria,2020-04-05,2020-W14,0.5294000000000001,-0.2301849877655228,78.1240114599583
austria,2020-04-12,2020-W15,0.533,-0.1919954099886083,81.17990661059949
austria,2020-04-19,2020-W16,0.533,-0.1821919560823798,82.00189098346463
austria,2020-04-26,2020-W17,0.49329999999999996,-0.1475034183992938,84.91167291450635
austria,2020-05-03,2020-W18,0.5266,-0.1321722392446273,86.23908366947002
austria,2020-05-10,2020-W19,0.5315000000000001,-0.09251663882273224,89.75198777439402
austria,2020-05-17,2020-W20,0.5487,-0.09202249451375918,89.81257940030673
austria,2020-05-24,2020-W21,0.5502,-0.09563020564412258,89.50532004394528
austria,2020-05-31,2020-W22,0.5769999999999998,-0.07804144292193822,91.1182324517364
austria,2020-06-07,2020-W23,0.5048999999999999,-0.05040340863479928,93.68861562968263
austria,2020-06-14,2020-W24,0.49670000000000003,-0.05157239261366713,93.59607308391207
austria,2020-06-21,2020-W25,0.5254000000000001,-0.05190195448722905,93.59060077337054
austria,2020-06-28,2020-W26,0.5254000000000001,-0.04843701904101626,93.93242336544185
austria,2020-07-05,2020-W27,0.5660000000000001,-0.04063409343172533,94.6853488991579
austria,2020-07-12,2020-W28,0.5263,-0.03334198304475511,95.4041883748695
austria,2020-07-19,2020-W29,0.5599000000000001,-0.02785398453785075,95.94654446272847
austria,2020-07-26,2020-W30,0.5208,-0.01210052099072938,97.4876204291717
austria,2020-08-02,2020-W31,0.5589999999999999,-0.0124189427270549,97.4830065583507
austria,2020-08-09,2020-W32,0.5589999999999999,-0.01672872354460438,97.08132398588778
austria,2020-08-16,2020-W33,0.5589999999999999,-0.0117589722082429,97.58262926756264
austria,2020-08-23,2020-W34,0.5254,-0.0114169067069903,97.64248121962171
austria,2020-08-30,2020-W35,0.46880000000000005,-0.02389279201792879,96.44930180355745
austria,2020-09-06,2020-W36,0.4799000000000001,-0.02150709908030994,96.69714927060583
austria,2020-09-13,2020-W37,0.4688,-0.01398054750702891,97.45410666470868
austria,2020-09-20,2020-W38,0.5088,-0.01410926176545012,97.45917580481785
austria,2020-09-27,2020-W39,0.49219999999999997,-0.02292853511732784,96.62089632066844
austria,2020-10-04,2020-W40,0.4907,-0.02482871931399438,96.46362019842758
austria,2020-10-11,2020-W41,0.4907,-0.02116358919847763,96.8353199442202
austria,2020-10-18,2020-W42,0.46390000000000003,-0.03153519767889107,95.8534941591235
austria,2020-10-25,2020-W43,0.47940000000000005,-0.03691702040032197,95.36486253940991
austria,2020-11-01,2020-W44,0.47940000000000005,-0.06475004067179223,92.76393211695179
austria,2020-11-08,2020-W45,0.47800000000000004,-0.05570137054555122,93.62405051337326
austria,2020-11-15,2020-W46,0.4779999999999999,-0.05256766730590876,93.94336460615061
austria,2020-11-22,2020-W47,0.47190000000000004,-0.04550194413787855,94.62659316552322
austria,2020-11-29,2020-W48,0.4614,-0.0424037570178764,94.93737502186298
austria,2020-12-06,2020-W49,0.4554,-0.04674871456788662,94.55139974088637
austria,2020-12-13,2020-W50,0.49540000000000006,-0.03313232674781595,95.8649773619258
austria,2020-12-20,2020-W51,0.45569999999999994,-0.03867688600132305,95.35215044279875
austria,2020-12-27,2020-W52,0.5135,-0.05448762699221674,93.88186502198334
austria,2021-01-03,2021-W01,0.5410999999999999,-0.03472291434778243,95.77317908876027
